Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-07-01,2.890000104904175,3.0999999046325684,2.7699999809265137,3.049999952316284,1882100,29.109580568486464,3977490.0,-0.061688254385818264,-0.23111437260183942,-0.05410024184335104,5.195236219605463,2.898763833800298,0.6023762188258772
2022-07-05,3.119999885559082,3.130000114440918,2.7899999618530273,2.8299999237060547,2493200,35.643555397134335,4026985.0,0.07958469629970244,-0.25483690319601227,-0.09424757411388329,5.125014609428591,2.800985413459592,0.6356967970931575
2022-07-06,2.9100000858306885,3.1500000953674316,2.890000104904175,3.0799999237060547,1746900,33.43652508065085,3952825.0,-0.06730763058690403,-0.2872709279624184,-0.13285224488359032,5.09537517407391,2.6646248402312054,0.6793742822008497
2022-07-07,3.200000047683716,3.2049999237060547,2.9000000953674316,2.950000047683716,1618800,30.868160670283117,3909565.0,0.09965634134001888,-0.2862745580679089,-0.16353670752045404,5.068470697730117,2.5885293194360206,0.6682636820272586
2022-07-08,3.3299999237060547,3.430000066757202,3.0999999046325684,3.1600000858306885,1815500,34.16926859426552,3874565.0,0.0406249606516218,-0.27186117777763164,-0.18520160157188958,4.9621707200289515,2.5648292780636996,0.6445493914711399
2022-07-11,3.009999990463257,3.3499999046325684,2.9800000190734863,3.2899999618530273,1057600,31.232081453110595,3836605.0,-0.09609607825055455,-0.28299757048378993,-0.20476079535426966,4.944179864746477,2.4758201400218938,0.6265994434218821
2022-07-12,3.009999990463257,3.059999942779541,2.940000057220459,3.0199999809265137,733700,25.233637293610954,3787090.0,0.0,-0.2884976209460648,-0.2215081604726287,4.911955345624612,2.3980446448386443,0.5525862835167275
2022-07-13,2.990000009536743,3.009999990463257,2.8499999046325684,2.869999885559082,1490700,26.47058158963705,3744205.0,-0.00664451195677096,-0.2911144951890381,-0.23542942741591058,4.8851890887953076,2.3248109016679495,0.4726334691884112
2022-07-14,2.9700000286102295,3.0199999809265137,2.869999885559082,2.9200000762939453,802400,26.47058158963705,3685785.0,-0.0066889568102751484,-0.29144264875600046,-0.2466320716839286,4.851970773253287,2.257029218163645,0.3507950237087909
2022-07-15,3.200000047683716,3.2300000190734863,2.924999952316284,3.0799999237060547,1558500,35.25423065816561,3584365.0,0.07744108311713105,-0.27003088551335974,-0.25131183444981486,4.739194920020516,2.2508050895162266,0.2424111580529064
